1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,E - Commerce,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,IROOF80-PLS,Isoroof Plus 80 mm - Gris - Rojo,51.15,52.86,58.15,15%,,7.6722,58.82,71.76,,7.09,,,,,71.61,87.36,56.2628715,Isoroof Plus 80 mm - Gris - Rojo,71.76,251.16,287.04,322.92,358.80,394.68,430.56,466.44,502.33,538.21,574.09,609.97,645.85,681.73,717.61,753.49,789.37,825.25,861.13,861.13,861.13
,,,,"ISOROOF COLONIAL (medidas: 7 m y 4,9 m)",,,,,,,Precio + IVA,IVA inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,IAGRO30,Isoroof COLONIAL 40 mm - Color simil teja,53.97,,,15%,,8.0955,62.07,75.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACT.,FLETEBRO,Flete de Bromyros en Zonas Aledañas,180.00,186.03,204.63,33%,,60.0000,240,292.80,,,,,,,252.00,307.44,,Flete de Bromyros en Zonas Aledañas,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,ACT.,C.But.,Cinta Butilo 2mm x 15mm x 22.5m lineales,12.95,13.38,14.72,15%,,1.9425,14.89,18.17,,23.619505,,,,,18.13,22.12,,Cinta Butilo 2mm x 15mm x 22.5m lineales,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,ACT.,Cab. Roj,"Caballete Rojo Teja, Gris y blanco- (Arandela Trapezoidal)",0.33,0.34,0.38,50%,,0.1650,0.50,0.60,,0.65,,,,,0.46,0.56,,"Caballete Rojo Teja, Gris y blanco- (Arandela Trapezoidal)",,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,ACT.,Bromplast,Bromplast 8 - Silicona Neutra  X 600,7.91,8.17,8.99,20%,,1.5820,9.49,11.58,,,"10,27",,,,11.07,13.51,,Bromplast 8 - Silicona Neutra  X 600,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,,Pistola de Silicona ,30.10,31.10,34.21,25%,,7.5238,37.62,45.90,,,,,,,42.13,51.40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GOTERO FRONTAL 3M PREPINTADO,,,,,,,,,,,,,,,,,,,,Margen 10%,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFS30,Gotero Frontal Simple 30mm Prep.,13.19,13.63,15.00,20%,,2.6380,15.83,19.31,22.53,,5.276,22.40,3.09,,18.47,22.53,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFS50,Gotero Frontal Simple 50mm Prep.,13.97,14.44,15.88,20%,,2.7940,16.76,20.45,23.86,,5.588,23.72,3.27,,19.56,23.86,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFS80,Gotero Frontal Simple 80mm Prep.,14.69,15.18,16.70,20%,,2.9380,17.63,21.51,25.09,,5.876,24.95,3.44,,20.57,25.09,,,"Lista para Walter ""La casa del Panel"" ",,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFSUP30,Gotero Superior 30mm Prep.,23.51,24.30,26.73,20%,,4.7020,28.21,34.42,40.16,,9.404,39.93,5.51,,32.91,40.16,,,,,,,,,,,,,,,,,,,,,,,
NO SUBIR,,ACT.,GFSUP40,Gotero Superior 40mm Prep.,21.30,22.01,24.21,20%,,4.2600,25.56,31.18,36.38,,8.52,36.17,4.99,,29.82,36.38,,,"ISOPANEL EPS (Fachada)  2,3 min",,,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFSUP50,Gotero Superior 50mm Prep.,24.23,25.04,27.55,20%,,4.8460,29.08,35.47,41.38,,9.692,41.15,5.68,,33.92,41.38,,,Producto,USD ,IVA INC ,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GFSUP80,Gotero Superior 80mm Prep.,25.70,26.56,29.22,20%,,5.1400,30.84,37.62,43.90,,10.28,43.64,6.02,,35.98,43.90,,,ISOPANEL EPS 50 mm ,31.77,38.76,,,,28.88,,,,,,,,,,,,,,
Fata foto,,ACT.,GFCGR30,Gotero frontal con greca  1 x panel  30 - 40 - 50 - 80 100 mm,13.84,14.30,15.73,30%,,4.1520,17.99,21.95,23.64,,5.997333333,25.46,3.51,,19.38,23.64,,,ISOPANEL EPS 100 mm,34.95,42.64,,,,31.77,,,,,,,,,,,,,,
Fata foto,,,GSDECAM30,Gotero Superior  -  DE CAMARA  30mm,26.38,27.26,29.99,20%,,5.2761,31.66,38.62,45.06,,10.5522417,44.80,6.18,,36.93,45.06,,,ISOPANEL EPS 150 mm,39.31,47.96,,,,35.74,,,,,,,,,,,,,,
NO SUBIR,,,GSDECAM40,Gotero Superior  -  DE CAMARA  40mm,31.47,32.53,35.78,20%,,6.2944,37.77,46.08,53.75,,12.58889814,53.45,7.37,,44.06,53.75,,,ISOPANEL EPS 200 mm,44.09,53.79,,,,40.08,,,,,,,,,,,,,,
Fata foto,,,GSDECAM50,Gotero Superior  -  DE CAMARA  50mm,22.77,23.53,25.89,20%,,4.5540,27.32,33.34,38.89,,9.108,38.67,5.33,,31.88,38.89,,,ISOPANEL EPS 250mm,48.46,59.12,,,,44.05,,,,,,,,,,,,,,
Fata foto,,,GSDECAM80,Gotero Superior  -  DE CAMARA  80mm,24.95,25.79,28.36,20%,,4.9900,29.94,36.53,42.61,,9.98,42.37,5.84,,34.93,42.61,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"ISODEC (EPS) - 2,3m min.",,,,,,,,,,,,,,,,,,,,
,,,,GOTERO LATERAL 3M PREPINTADO,,,,,,,,,,,,,,,,,,,Producto,USD ,IVA INC ,,,,,,,,,,,,,,,,,,
Fata foto,,ACT.,GL30,Gotero Lateral 30mm  Prep.,18.19,18.80,20.68,20%,,3.6380,21.83,26.63,,,7.276,30.89,4.26,,25.47,31.07,,,ISODEC EPS 100 mm,34.95,42.64,,,,31.77,,,,,,,,,,,,,,
NO SUBIR,,ACT.,GL40,Gotero Lateral 40mm  Prep.,18.90,19.53,21.49,20%,,3.7800,22.68,27.67,,,7.56,32.10,4.43,,26.46,32.28,,,ISODEC EPS 150 mm,39.31,47.96,,,,35.74,,,,,,,,,,,,,,
Fata foto,,ACT.,GL50,Gotero Lateral 50mm  Prep.,19.64,20.30,22.33,20%,,3.9280,23.57,28.75,,,7.856,33.35,4.60,,27.50,33.55,,,ISODEC EPS 200 mm,44.09,53.79,,,,40.08,,,,,,,,,,,,,,
