1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Fata foto,,,6804,Canalón Estandar 250 mm,88.61,91.58,100.74,20%,,17.7224,106.33,129.73,142.7003996,35.4447093,150.48,20.76,,124.06,151.35,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6805,Soporte de Canalón de 3 m,15.80,16.33,17.97,20%,,3.1608,18.96,23.14,25.45038356,6.3215061,26.84,3.70,,22.13,26.99,,,,,,,,,,,,,,,,,,,,,,,
,,,,Embudo ,,,,,,,,,,,,,,24.59,30.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ANCLAJES varios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Varilla Roscada BSW 3/8 de 1 m,2.51,2.59,2.85,20%,,0.5020,3.01,3.67,,,,,,3.51,4.29,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Tuerca BSW 3/8 Galv.,0.05,0.05,0.06,140%,,0.0700,0.12,0.15,,,,,,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Arandela Carrocero 3/8 Galv.,0.44,0.45,0.50,282%,,1.2400,1.68,2.05,,,,,,0.62,0.75,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,,Arandela Bca. de Polipropileno (Totuga Blanca),1.03,1.06,1.17,20%,,0.2060,1.24,1.51,,,,,,1.44,1.76,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,,Arandela Bca. de Polipropileno GRIS (Totuga GRIS),1.10,1.14,1.25,20%,,0.2200,1.32,1.61,,,,,,1.54,1.88,,,,,,,,,,,,,,,,,,,,,,,
Falta Descripción,,,,Taco Expansivo Sorex 3/8,0.78,0.81,0.89,20%,,0.1560,0.94,1.14,,,,,,1.09,1.33,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Faltan Tornillos autoperfoantes para cotizar cuando retiren de BROMYROS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Soportes para canalones ISOROOF cual utilizan?,,,,,,,,,tc,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," EPS, Cat. II",C. Unit UY$,,,C. Paquete,C. Paquete,C. unit usd ,,,vta unit ,Vta unit USD ,P vta paquete + IVA,Ganancia Paquete ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx1cm (Paquetes de 60 uds),46.00,,,"2,760.00","3,174.00",1.15,30%,13.8000,59.80,1.495,"3,588.00",828,,,,,2970864,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx2cm  (Paquetes de 30 uds),83.00,,,"2,490.00","2,863.50",2.08,30%,24.9000,107.90,2.6975,"3,237.00",747,,,,,828,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx3cm (Paquetes de 20 uds),123.00,,,"2,460.00","2,829.00",3.08,30%,36.9000,159.90,3.9975,"3,198.00",738,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx5cm (Paquetes de 12 uds),207.00,,,"2,484.00","2,856.60",5.18,30%,62.1000,269.10,6.7275,"3,229.20",745.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3x1x5cm (Paquetes de 12 uds),855.00,,,"10,260.00","11,799.00",21.38,30%,256.5000,1111.50,27.7875,"13,338.00",3078,,,,,,370.5,,,,,,,,,,,,,,,,,,,,
,,,,autotrabante  (Paquetes de 12 uds),553.00,,,"6,636.00","7,631.40",13.83,30%,165.9000,718.90,17.9725,"8,626.80",1990.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pistola de Silicona ,25.29,,,25%,,6.3225,31.61,38.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tornillos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
